사업장명,도로명전체주소
카페송키,"제주특별자치도 제주시 무근성안길 16, 1층 (삼도이동)"
그림책방앤카페노란우산,"제주특별자치도 제주시 애월읍 하광로 515, 104동 102호 (자연숲)"
에릭스에스프레소,"제주특별자치도 제주시 구좌읍 구좌로 77, 1층"
일품순두부한림점,"제주특별자치도 제주시 한림읍 한림상로 237, 1층"
김복남맥주제주아라점,"제주특별자치도 제주시 중앙로 581, 에이동 1층 (아라일동)"
봉플라봉뱅,"제주특별자치도 제주시 문송1길 6-1, 정인하우스 1층 (연동)"
아라포차,"제주특별자치도 제주시 중앙로 573, 1층 (아라일동)"
가빈거래처,"제주특별자치도 제주시 산천단동2길 13, 1층 (아라일동)"
스톤아일랜드탭하우스,"제주특별자치도 제주시 삼무로7길 16, 1층 (연동)"
레게펍,
옹포분식,"제주특별자치도 제주시 한림읍 월계로 15, 1층"
연두랑고갈비,"제주특별자치도 제주시 독짓골2길 10, 1층 (도남동)"
협재더꽃돈본점,"제주특별자치도 제주시 한림읍 한림로 366, 1층"
우차도리,"제주특별자치도 제주시 건주로6길 42, 1층 (도련일동)"
솥돈가,"제주특별자치도 제주시 우정로 44, 1층 (외도일동)"
와르다레스토랑,"제주특별자치도 제주시 관덕로8길 24-1, 1층 (삼도이동)"
길섶나그네,"제주특별자치도 제주시 조천읍 미래로 241, 1층"
사랑뜰,"제주특별자치도 제주시 한림읍 한림로 662-1, 1층"
불티나네,"제주특별자치도 제주시 애월읍 가문동상2길 29-7, 1층"
수니테이블,제주특별자치도 제주시 구좌읍 문주란로 33-1
연화양꼬치,"제주특별자치도 제주시 연동8길 28, 1층 105,106호 (연동)"
돈대표,"제주특별자치도 제주시 조천읍 함덕로 20, 1층"
예쁘게즐겁게,"제주특별자치도 제주시 구좌읍 월정3길 14, 1층"
황금손가락한림점,제주특별자치도 제주시 한림읍 한림해안로 275
24시누름돌김치찌개,"제주특별자치도 제주시 노연로 146, 1층 (연동)"
선흘바람,"제주특별자치도 제주시 조천읍 선교로 571, 1층"
이돈갓아라점,"제주특별자치도 제주시 인다10길 36, 2층 (아라일동)"
바삭돈가스삼화점,"제주특별자치도 제주시 화삼로 7, 티엠빌딩 3층 301호 (화북일동)"
제주도모퉁이스낵연회장,"제주특별자치도 제주시 한림읍 일주서로 5673, 1층"
남궁푸드,"제주특별자치도 제주시 한림읍 한림중앙로 46, 2층"
한림피그농원,"제주특별자치도 제주시 한림읍 한수풀로2길 31, 1층"
하도39,"제주특별자치도 제주시 구좌읍 해맞이해안로 1766-14, 1층"
옥성식당,"제주특별자치도 제주시 동광로1길 32, 보성시장 (이도일동)"
제주마당,"제주특별자치도 제주시 도리로 50, 2층 (이호일동)"
공산명월,"제주특별자치도 제주시 애월읍 광령평화3길 18, 1층"
대붕정,"제주특별자치도 제주시 조천읍 선교로 571, 1층"
미연이네집,"제주특별자치도 제주시 삼무로7길 34, 삼무주택 1층 (연동)"
영화루,"제주특별자치도 제주시 사장길 15-1, 1층 (연동)"
맥주창고,"제주특별자치도 제주시 도남로 40, 1층 (도남동, 윤재연립)"
성두길일오포차,"제주특별자치도 제주시 성두길 15, 1층 (연동)"
램앤블랙,"제주특별자치도 제주시 조천읍 교래1길 45, B,C동 1층"
살레안의고깃,"제주특별자치도 제주시 월산남길 110, 1층 (노형동)"
쉬멍해장국,"제주특별자치도 제주시 구남로4길 8-12, 1층 (이도이동)"
우도청정식당,"제주특별자치도 제주시 우도면 우도해안길 804, 1층"
사쿠라미치,"제주특별자치도 제주시 전농로 48-1, 1층 (삼도일동)"
앤드앤드,"제주특별자치도 제주시 연동4길 28-16, 1층 102호 (연동, 뉴전원빌라)"
